Id,Label
711,JOHN H. WASHBURN
712,GEORGE G. WILLIAMS
713,WILLIAM H. PORTER
714,JACOB C. PARSONS
715,FRANCIS HALPIN
716,JAMES L. PARSON
717,GEORGE G. DE WITT
718,ROBERT WALTON GOELET
719,FREDERIC W. STEVENS
720,HENRY HASLER
721,WILLIAM E. CLARK
722,CHARLES H. STEINWAY
723,CHARLES W. HELD
724,HENRY SAYLER
725,JOHN W. PIRSSON
726,BARAK G. COLES
727,JOHN L. DUDLEY
728,SIGOURNEY W. FAY
729,JOHN M. FUCHS
730,CHARLES GULDEN
731,JOHN C. JUHRING
732,PERCIVAL KUHNE
733,ROBERT P. LETHBRIDGE
734,GEORGE W. ODELL
735,JAMES ROWLAND
736,JOHN STEMME
737,DOUGLAS TAYLOR
738,DAVID C. TOWNSEND
739,ARTHUR W. WATSON
740,THOMAS H. WOOD
741,FREDERICK W. WURSTER
742,REMSEN RUSHMORE
743,DAVID R. MORSE
744,"HENRY V. RAYMOND, JR."
745,FREDERICK H. WEBSTER
746,F.O. AFFELD
747,WILLIAM A. AVIS
748,C.F. BARBER
749,E.G. BLACKFORD
750,L.J. BUSBY
751,DAVID F. BUTCHER
752,J.G. DETTMER
753,ISAAC HARRIS
754,WILLIAM H. HAZZARD
755,JAMES MATTHEWS
756,JOHN M. RIDER
757,N.T. SPRAGUE
758,FRANK SQUIER
759,HORATIO S. STEWART
760,JOHN B. SUMMERFIELD
761,CHARLES E. TEALE
762,JOHN W. WILSON
763,WILLIAM WILSON
764,STEWART L. WOODFORD
765,JAMES ROSS CURRAN
766,GEORGE R. SHELDON
767,ARTHUR TERRY
768,WALTER W. LEE
769,ELVERTON R. CHAPMAN
770,PETER DOELGER
771,EDWARD EYRE
772,CHARLES V. FORNES
773,WILLIAM H. GELSHENEN
774,WILLIAM R. GRACE
775,"WILLIAM HALLS, JR."
776,ALBERT G. JENNINGS
777,EUGENE KELLY
778,HUGH KELLY
779,JAMES D. LAYNG
780,CHARLES E. MORSE
781,HOSMER B. PARSONS
782,GEORGE W. PERKINS
783,FRANK H. PLATT
784,EDWIN WARFIELD
785,GEORGE L. GILLETTE
786,BERNHARD GREEFF
787,WILLIAM W. WEITLING
788,GEORGE W. GILLETTE
789,WILLIAM F. BUHL
790,FREDERICK GERBIG
791,F.W. GRELL
792,FRANK HUNOLD
793,HENRY KRAEMER
794,FERDINAND MARTENS
795,FREDERICK G. PAULY
796,EDWIN P. ROE
797,E.L. SCHILLER
798,A.D. SCHLESINGER
799,ALFRED H. SCHLESINGER
800,ALEXANDER WALKER
801,EDWIN W. ORVIS
802,WILLIAM C. DUNCAN
803,JAMES M. DONALD
804,R. FLEMING HANDY
806,JOHN J. HOPPER
807,AUGUSTUS W. KELLEY
808,JUDSON LAWSON
809,"GEORGE REUTER, JR."
810,CHARLES HERBERT SMITH
811,HENRY E. STEVENS
812,JOHN E. BORNE
813,RICHARD DELAFIELD
814,JAMES W. TAPPIN
815,EDMUND L. JUDSON
816,ARPAD S. GROSSMANN
817,PHILLIP S. BABCOCK
818,PERRY BELMONT
819,VERNON H. BROWN
820,FRANK CURTISS
821,L.C. DESSAR
822,JOHN S. DICKERSON
823,ANSON R. FLOWER
824,THEODORE W. MYERS
825,DANIEL O'DAY
826,LOWELL M. PALMER
827,GREORGE W. QUINTARD
828,GEORGE WARREN SMITH
829,WILLIAM T. WARDWELL
830,W. SEWARD WEBB
831,HENRY N. WHITNEY
832,JOSEPH FOX
833,WALTER S. GRIFFITH
834,CLEVELAND H. DODGE
835,SIMEON FORD
836,MYER S. ISAACS
837,MAX J. LISSAUER
838,LEWIS SEASONGOOD
839,JOHN W. HARDENBERGH
840,ROBERT S. ROSS
841,OSCAR L. GUBELMAN
842,WALTER E. AMMON
843,AUGUST BELMONT
844,C. LEDYARD BLAIR
845,WILLIAM BRINKERHOFF
846,JOHN D. CARSCALLEN
847,CORNELIUS C. CUYLER
848,JACOB J. DETWILLER
849,ROBERT M. JARVIS
850,WILLIAM B. JENKINS
851,C.H. KELSEY
852,GUSTAV E. KISSEL
853,HENRY LEMBECK
854,JAMES A. MACDONALD
855,FRANK J. MATHEWS
856,ALLAN L. McDERMOTT
857,JAMES G. MORGAN
858,N. THAYER ROBB
859,EDWIN A. STEVENS
860,BENJAMIN L. STOWE
861,EBEN B. THOMAS
862,MYLES TIERNEY
863,AUGUSTUS H. VANDERPOEL
864,JOHN J. VOORHEES
865,AUGUSTUS ZABRISKIE
866,OTTO T. BANNARD
867,WILLARD V. KING
868,HENRY E. AHERN
869,HENRY E. DABOLL
870,S. READING BERTRON
871,JAMES A. BLAIR
872,ROBERT W. DE FOREST
873,JOHN B. DENNIS
874,MARSHALL FIELD
875,WILLIAM JAY
876,FREDERIC B. JENNINGS
877,WALTER JENNINGS
878,HENRY S. KERR
879,JOHN J. MITCHELL
880,A. LANFEAR NORRIE
881,ROBERT OLYPHANT
882,CHARLES PARSONS
883,P.A. VALENTINE
884,MINOT C. KELLOGG
885,JAMES T. WOOD
886,JOSEPH G. ROBIN
887,ROBERT B. WALDO
888,CHARLES L. HEINS
889,ARTHUR H. WILLIAMS
890,GEORGE E. WALDO
891,LYMAN A. CHENEY
892,WIALLIAM P. RUDD
893,WILLIAM H. TEN EYCK
894,FREDERICK T. MARTIN
895,WILLIAM E. WILLIAMS
896,"WILLIAM H. BALDWIN, JR."
897,ALFRED C. BARNES
898,DAVID BINGHAM
899,JOHN M. BOWERS
900,LEONARD J. BUSBY
901,R.R. CABLE
902,HOWLAND DAVIS
903,M.B. FIELDING
904,WILLIAM F. HAVEMEYER
905,CLARENCE H. KELSEY
906,WILLIAM H. NICHOLS
907,WILLIAM RHINELANDER STEWART
908,CHARLES FRANCIS PHILLIPS
909,FRANK B. ROBINSON
910,WARREN L. SAWYER
911,JOSEPH G. DEANE
912,SILAS B. DUTCHER
913,J.W. HINKLEY
914,W.M. ROSS
915,WILLIAM T. WATSON
916,JAMES L. WOLCOTT
917,BENJAMIN H. HUNTINGTON
918,JAMES E. DEAN
919,J.L. MARCELLUS
920,R.W. BAINBRIDGE
921,F.A.M. BURRELL
922,HORACE C. DUVAL
923,FRANK S. JONES
924,JOHN E. LEECH
925,DAVID W. LEWIS
926,J.T.E. LITCHFIELD
927,WILLIAM McCARROLL
928,WILLIAM L. MOFFAT
929,LUDWIG NISSEN
930,SAMUEL ROWLAND
931,GEORGE H. SOUTHARD
932,N. TOWNSEND THAYER
933,JOHN TRUSLOW
934,WILLIAM H. WALLACE
935,JOHN MOLLENHAUER
936,JACOB F. HEALEY
937,WILLIAM P. STURGIS
938,HENRY GECKLER
939,C.M. LOWES
940,JOSEPH APPLEGATE
941,ELIJAH CABBLE
942,HORATIO G. CRAIG
943,FREDERICK V. DARE
944,ROBERT B. FERGUSON
945,ISAAC HICKS
946,H.F. MOLLENHAUER
947,GEORGE NICHOLS
948,COULSON SHEPHARD
949,HENRY J. VOGEL
950,AUGUSTUS WENZEL
951,JOHN HAFFEN
952,BRIAN G. HUGHES
953,HENRY W. NEUBECK
954,WILLIAM M. KERN
955,CHARLES W. BOGART
956,JAMES S. BRYANT
957,GEORGE E. EDWARDS
958,CHARLES P. FABER
959,JOHN FREES
960,BERNARD FRENCH
961,JOHN S. HANSON
962,JAMES M. LA COSTE
963,JOHN LANZER
964,GEORGE M. MACKELLAR
965,FRANK P. MOTT
966,ANTON RINSCHLER
967,JULES P. VALOIS
968,ANDREW MILLS
969,SAMUEL P. PATTERSON
970,DAVID J. TAFF
971,CHARLES MIEHLING
972,WILLIAM F. PATTERSON
973,BENJAMIN DE F. CURTISS
974,CHARLES T. GALLOWAY
975,SIDNEY W. HOPKINS
976,ABNER B. MILLS
977,CHARLES E. PELL
978,HENRY C. PERLEY
979,HENRY C. ROBINSON
980,JOHN A. TACKABERRY
981,JOHN TIEBOUT
982,ROBERT J. WRIGHT
983,FREDERICK ZITTEL
984,DARWIN R. JAMES
985,THOMAS J. ATKINS
986,LESTER W. BEASLEY
987,ALEX HUTCHINS
988,EUGENE F. BARNES
989,JAMES N. BROWN
990,CHARLES T. GEYER
991,WILLIAM A. GRAHAM
992,JOHN H. IRELAND
993,JOHN W. JAMES
994,R. J. OWENS
995,CHARLES A. PECK
996,STEPHEN M. RANDALL
997,JOHN H. ROWLAND
998,L.W. STOCKWELL
999,A.H. TOPPING
1000,HENRY VON GLAHN
1001,FREDERICK MIDDENDORF
1002,C. WASHINGTON COLYER
1003,DAVID HOPKINS
1004,LOUIS A. TRANBERG
1005,JOHN M. LINZ
1006,"GEORGE F. MIDDENDORF, JR."
1007,FRANK L. CAMM
1008,CLARENCE F. COLYER
1009,JOHN W. EARL
1010,FRED D. HART
1011,FRANK C. LANG
1012,JOHN W. NILES
1013,GEORGE W. PALMER
1014,RUDOLPH REIMER
1015,CHARLES H. WADSWORTH
1016,A.A. WEMMELL
1017,RAYMOND JENKINS
1018,DAVID BANKS
1019,ZENAS E. NEWELL
1020,CHARLES BANKS
1021,"DAVID BANKS, JR."
1022,JOSEPH ROGERS
1023,CHARLES FRAZIER
1024,HAMILTON R. SEARLES
1025,BRINKERHOFF MYERS
1026,CHARLES A. WHITNEY
1027,LOUIS W. SLOCUM
1028,GEORGE ABEEL
1029,J. WORRALL ARTHUR
1030,J. SINCLAIR ARMSTRONG
1031,WARREN C. BARBER
1032,CHARLES F. BASSETT
1033,WILLIAM G. HOOPLE
1034,HENRY T. NICHOLS
1035,CHARLES A. O'DONOHUE
1036,DICK S. RAMSEY
1037,HENRY L. SLOTE
1038,WILLIAM C. SMITH
1039,WILLIAM C. TABER
1040,NATHANIEL M. TERRY
1041,JOHN H. WAYDELL
1042,DANIEL W. WHITMORE
1043,RICHARD YOUNG
1044,LEWIS E. MEEKER
1045,J. PARKER SLOANE
1046,HOMER L. BARTLETT
1047,CHARLES L. SICARDI
1048,WILLIAM A. LOCKE
1049,JOHN BOSSERT
1050,CHARLES J. EDWARDS
1051,JAMES GASCOINE
1052,HENRY L. GAUS
1053,E.M. HENDRICKSON
1054,CHARLES JACOB
1055,PATRICK J. MENAHAN
1056,GEORGE E. MOULTON
1057,HENRY VOLLWELLER
1058,JOHN C. KELLEY
1059,FRANK JENKS
1060,WILLIAM J. BROWN
1061,TUNIS G. BERGEN
1062,HENRY BURN
1063,IRVING T. BUSH
1064,J.R. DONNELLY
1065,ALBRO J. NEWTON
1066,WILLIAM W. SPENCE
1067,HENRY STEERS
1068,EDWARD A. McALPIN
1069,GEORGE E. WEED
1070,CHARLES E. BROWN
1071,JOHN ENGLIS
1072,EDWIN A. McALPIN
1073,GEORGE L. McALPIN
1074,GEORGE W. QUINTARD
1075,WILLIAM ROWLAND
1076,JAMES McMAHON
1077,JAMES G. JOHNSON
1078,JOHN C. McCARTHY
1079,LOUIS V. O'DONOHUE
1080,MICHAEL E. BANNIN
1081,JOHN BYRNE
1082,FREDRICK R. COUDERT
1083,JOHN CRANE
1084,MICHAEL J. DRUMMOND
1085,JOHN GOOD
1086,JOSEPH P. GRACE
1087,JAMES McGOVERN
1088,THOMAS M. MULRY
1089,HERMAN RIDDER
1090,VINCENT P. TRAVERS
1091,ISAAC A. HOPPER
1092,GEORGE B. BROWN
1093,BRADLEY L. EATON
1094,ARTHUR T. TIMPSON
1095,CHARLES W. DAYTON
1096,SIMON ADLER
1097,JOHN BEAVER
1098,GEORGE H. BURFORD
1099,HENRY DIMSE
1100,JOHN B. JOHNSON
1101,JOHN H. LOOS
1102,WILLIAM MOORES
1103,GEORGE W. THOMPSON
1104,JOHN H. VAN TINE
1105,ARTHUR E. WOOD
1106,LEROY W. BALDWIN
1107,O.F. THOMAS
1108,WILLIAM J. ROOME
1109,JAMES C. GULICK
1110,EDWARD L. MERRIFIELD
1111,JOHN C. GRISWOLD
1112,A.L. ASHMAN
1113,WILLIAM H. BARRON
1114,JAMES H. BRESLIN
1115,HENRY D. BREWSTER
1116,ROBERT C. BROWN
1117,JOHN BURKE
1118,A.J. CAMMEYER
1119,GEORGE C. CURRIER
1120,HENRY DAZIAN
1121,JOHN C. GULICK
1122,R.J. HORNER
1123,JOSEPH J. LITTLE
1124,EDWIN S. MARSTON
1125,THOMAS J. BARNETT
1126,"SAMUEL SLOAN, JR."
1127,CORNELIUS R. AGNEW
1128,WILLIAM B. CARDOZO
1129,AUGUSTUS V. HEELY
1130,A.G. AGNEW
1131,WILLIAM WALDORF ASTOR
1132,EDWARD R. BACON
1133,ROBERT F. BALLANTINE
1134,W.S. BOGERT
1135,ROBERT C. BOYD
1136,HENRY HENTZ
1137,E.R. HOLDEN
1138,H. VAN RENSSELAER KENNEDY
