Id,Label,TYPE, VALUE 
566,OSCAR T. MACKEY,0,
567,W.L. WELLINGTON,0,
568,W.H. BIRCHALL,0,
569,C.A. BECKER,0,
570,M.M. CORWIN,0,
571,"THOMAS BOLTON, JR.",0,
572,WILLIAM H. BOLTON,0,
573,WILLIAM HENDERSON,0,
574,MARTIN WALTER,0,
575,GEORGE W. WHITEHEAD,0,
576,HENRY E. HUTCHINSON,0,
577,THOMAS M. HALSEY,0,
578,WILLIAM J. CARR,0,
579,"W.N. COLER, JR.",0,
580,MATHEW DEAN,0,
581,"JOHN DITMAS, JR.",0,
582,DESMOND DUNNE,0,
583,WILLIAM T. GOUNDIE,0,
584,CARMON R. HETFIELD,0,
585,CLEMENT LOCKITT,0,
586,THOMAS H. MESSENGER,0,
587,FREDERICK E. PITKIN,0,
588,GEORGE P. SHELDON,0,
589,PERCIVAL C. SMITH,0,
590,BRYAN H. SMITH,0,
591,EDWARD D. WHITE,0,
592,FELIX E. FLANDREAU,0,
593,CHARLES C. PUTNAM,0,
594,FRANK L. BABBOTT,0,
595,HIRAM V.V. BRAMAN,0,
596,JONATHAN BULKLEY,0,
597,FRANCIS L. EAMES,0,
598,RICHARD L. EDWARDS,0,
599,LYMAN R. GREENE,0,
600,CROWELL HADDEN,0,
601,A. AUGUSTUS HEALY,0,
602,CHARLES A. HOYT,0,
603,JOHN F. JAMES,0,
604,EDWARD H. KIDDER,0,
605,DAVID G. LEGGETT,0,
606,EDWARD H. LITCHFIELD,0,
607,WILLIAM G. LOW,0,
608,FRANK LYMAN,0,
609,EDWARD MERRITT,0,
610,HENRY F. NOYES,0,
611,WILLIS L. OGDEN,0,
612,HENRY E. PIERREPONT,0,
613,WILLIAM V.R. SMITH,0,
614,THEODORE F. MILLER,0,
615,FREDERICK C. COLTON,0,
616,STANLEY W. HUSTED,0,
617,THOMAS T. BARR,0,
618,S.W. BOOCOCK,0,
619,GEORGE W. CHAUNCEY,0,
620,WILLIAM N. DYKMAN,0,
621,JOHN GIBB,0,
622,FRANCIS L. HINE,0,
623,CHARLES W. IDE,0,
624,WILLIAM H. MALE,0,
625,JOHN J. PIERREPONT,0,
626,CHARLES M. PRATT,0,
627,GEORGE G. REYNOLDS,0,
628,CHARLES A. SCHIEREN,0,
629,ALEXANDER M. WHITE,0,
630,WILLIAM AUGUSTUS WHITE,0,
631,C.D. WOOD,0,
632,JOHN DAVIS,0,
633,MOSES MAY,0,
634,JOSEPH CABBLE,0,
635,"C.D. BURROWS, JR.",0,
636,JERE E. BROWN,0,
637,RUFUS L. SCOTT,0,
638,WILLIAM S. WANDEL,0,
639,WILLIAM A. WELLS,0,
640,EDWIN LANGDON,0,
641,WILLIAM M. WOODS,0,
642,CHARLES S. YOUNG,0,
643,LEWIS S. LEE,0,
644,JACOB S. BERNHEIMER,0,
645,L.F. DOMMERICH,0,
646,WOODBURY LANGDON,0,
647,JOHN A. McCALL,0,
648,JOHN P. MUNN,0,
649,HENRY SAMPSON,0,
650,HENRY TUCK,0,
651,WILLIAM A. WHEELOCK,0,
652,HENRY MORGENTHAU,0,
653,HUGH J. GRANT,0,
654,T. STALLKNECHT,0,
655,ERNEST EHRMANN,0,
656,W.J.B. MILLS,0,
657,ANTHONY N. BRADY,0,
658,MICHAEL COLEMAN,0,
659,JOHN D. CRIMMINS,0,
660,HENRY O. HAVEMEYER,0,
661,JAMES H. POST,0,
662,GEORGE SHERMAN,0,
663,E.F. HYDE,0,
664,B.G. MITCHELL,0,
665,GEORGE BERTINE,0,
666,F.L. GRANT,0,
667,J.N. WALLACE,0,
668,F.B. SMIDT,0,
669,CORNELIUS N. BLISS,0,
670,"WILLIAM ALLEN BUTLER, JR.",0,
671,CHARLES LANIER,0,
672,GEORGE MACCOLLOCH MILLER,0,
673,JAMES SPEYER,0,
674,HENRY TALMADGE,0,
675,"EDMUND DWIGHT, JR.",0,
