Id,Label,Director
403,JAMES TALCOTT,1
404,THEODORE ROGERS,1
405,E.C. EVANS,1
406,BENJAMIN ALTMAN,1
407,HICKS ARNOLD,1
408,CHARLES F. CHICHESTER,1
409,E.D. FAULKNER,1
410,C.H. HACKETT,1
411,JOHN S. HUYLER,1
412,HOBART J. PARK,1
413,JOSEPH PARK,1
414,JAMES STILLMAN,1
415,CHARLES L. TIFFANY,1
416,ROBERT J. HOGUET,1
417,R. BLEECKER RATHBONE,1
418,THOMAS ALEXANDER,1
419,WILLIAM CLARK,1
420,JOHN D. BEALS,1
421,J. ROMAINE BROWN,1
422,JAMES G. CANNON,1
423,ANDREW J. CONNICK,1
424,HERMAN F. EPPLE,1
425,JOHN H. FLAGER,1
426,JOHN HALLORAN,1
427,DANIEL F. MAHONY,1
428,NEWELL MARTIN,1
429,SAMUEL McMILLAN,1
430,JOHN B. McDONALD,1
431,SOL MOSES,1
432,JOHN C. RODGERS,1
433,DAVID STEWART,1
434,THEODORE F. TONE,1
435,JOHN WHALEN,1
436,EUGENE G. BLACKFORD,1
437,HOWARD M. SMITH,1
438,HENRY M. HEATH,1
439,HENRY CARSON,1
440,JACOB G. DETTMER,1
441,JULIAN D. FAIRCHILD,1
442,NELSON J. GATES,1
443,EDWARD H. HOBBS,1
444,ARTHUR R. JARRETT,1
445,WILLIAM H. LYON,1
446,CLARENCE W. SEAMANS,1
447,SAMUEL VAN WYCK,1
448,T.J. WASHBURN,1
449,JOHN S. FOSTER,1
450,M.S. PAINE,1
451,CHARLES ESSIG,1
452,J. STANLEY FOSTER,1
453,EDWARD J. DUNPHY,1
454,CHARLES F. NAETHING,1
455,W.F. NORTON,1
456,EUGENE COLEMAN SAVIDGE,1
457,CLERMONT H. WILCOX,1
458,JOHN D. HICKS,1
459,JOHN J. SINCLAIR,1
460,ROBERT B. WOODWARD,1
461,WALTER COGGESHALL,1
462,ISAAC P. MAILLER,1
463,HENRY A. SCHENCK,1
464,JOHN W. AITKEN,1
465,OCTAVIUS D. BALDWIN,1
466,HENRY C. BERLIN,1
467,CHARLES E. BIGELOW,1
468,WILLIAM V. BROKAW,1
469,JOHN W. COCHRANE,1
470,CHARLES T. COOK,1
471,JAMES W. CROMWELL,1
472,H. BLANCHARD DOMINICK,1
473,JOEL B. ERHARDT,1
474,EDWARD D. FAULKNER,1
475,ROBERT M. GALLAWAY,1
476,CHARLES GRIFFEN,1
477,CORCELLUS H. HACKETT,1
478,GEORGE E. HICKS,1
479,RICHARD M. HOE,1
480,GEORGE JEREMIAH,1
481,THOMAS B. KENT,1
482,MARK W. MCCLAY,1
483,GEORGE MCNEIR,1
484,SETH M. MILLIKEN,1
485,WILLIAM A. NASH,1
486,WILLIAM H. PARSONS,1
487,C. LAWRENCE PERKINS,1
488,ISAAC S. PLATT,1
489,GEORGE H. ROBINSON,1
490,HENRY A. ROGERS,1
491,DAVID S. TABER,1
492,CHARLES H. TENNEY,1
493,EUGENE UNDERHILL,1
494,FRANCIS T. WHITE,1
495,WASHINGTON WILSON,1
496,WILLIAM H.S. WOOD,1
497,EDWIN GOULD,1
498,SAMUEL THOMAS,1
499,WILLIAM H. TAYLOR,1
500,J.A. HILTON,1
501,WILLIAM M. LAWS,1
502,CHARLES P. ARMSTRONG,1
503,GEORGE R. BIDWELL,1
504,FRANK BRAINARD,1
505,A.H. CALEF,1
506,EDMUND C. CONVERSE,1
507,WILLIAM NELSON CROMWELL,1
508,THOMAS T. ECKERT,1
509,FRANK JAY GOULD,1
510,MYRON T. HERRICK,1
511,EDWARD R. LADEW,1
512,ANDREW LANGDON,1
513,EDWARD R. THOMAS,1
514,JOHN P. TRUESDELL,1
515,JOHN SKELTON WILLIAMS,1
516,E.F.C. YOUNG,1
517,FELIX CAMPBELL,1
518,"WILLIAM B. HURD, JR.",1
519,CHARLES COOPER,1
520,JOHN W. EVANS,1
521,LLEWELLYN A. WRAY,1
522,CHARLES W. BETTS,1
523,WALTER S. BREWSTER,1
524,FREDERICK W. CARRUTHERS,1
525,WILLIAM J. GILPIN,1
526,GRANVILLE W. HARMAN,1
527,HENRY I. HAYDEN,1
528,LOOMIS L. LANGDON,1
529,JABEZ M. LYLE,1
530,JOHN McNAMEE,1
